PERFUME_ID,OCCASION,ratio,LOAD_DT
8419,Business,18.51,2026-01-20 08:39:35
8421,Leisure,27.0,2026-01-20 08:39:35
8421,Daily,25.0,2026-01-20 08:39:35
8421,Business,22.0,2026-01-20 08:39:35
8422,Leisure,29.41,2026-01-20 08:39:35
8422,Daily,20.59,2026-01-20 08:39:35
8422,Evening,17.65,2026-01-20 08:39:35
8423,Leisure,24.44,2026-01-20 08:39:35
8423,Daily,23.33,2026-01-20 08:39:35
8423,Business,20.89,2026-01-20 08:39:35
8425,Leisure,22.83,2026-01-20 08:39:35
8425,Evening,22.83,2026-01-20 08:39:35
8425,Night Out,21.74,2026-01-20 08:39:35
8425,Daily,17.39,2026-01-20 08:39:35
8425,Business,15.22,2026-01-20 08:39:35
8427,Leisure,28.12,2026-01-20 08:39:35
8427,Daily,27.43,2026-01-20 08:39:35
8427,Business,20.49,2026-01-20 08:39:35
8427,Sport,18.75,2026-01-20 08:39:35
8429,Leisure,28.75,2026-01-20 08:39:35
8429,Daily,23.75,2026-01-20 08:39:35
8429,Business,20.0,2026-01-20 08:39:35
8436,Leisure,23.25,2026-01-20 08:39:35
8436,Daily,20.18,2026-01-20 08:39:35
8436,Evening,20.18,2026-01-20 08:39:35
8436,Night Out,18.42,2026-01-20 08:39:35
8436,Business,17.98,2026-01-20 08:39:35
8439,Night Out,31.28,2026-01-20 08:39:35
8439,Evening,31.28,2026-01-20 08:39:35
8439,Leisure,16.46,2026-01-20 08:39:35
8440,Daily,28.33,2026-01-20 08:39:35
8440,Leisure,26.67,2026-01-20 08:39:35
8440,Business,25.0,2026-01-20 08:39:35
8440,Sport,15.0,2026-01-20 08:39:35
8447,Leisure,26.67,2026-01-20 08:39:35
8447,Daily,21.82,2026-01-20 08:39:35
8447,Business,20.0,2026-01-20 08:39:35
8448,Night Out,24.62,2026-01-20 08:39:35
8448,Evening,24.62,2026-01-20 08:39:35
8448,Leisure,23.08,2026-01-20 08:39:35
8448,Daily,16.92,2026-01-20 08:39:35
8455,Leisure,27.91,2026-01-20 08:39:35
8455,Business,25.58,2026-01-20 08:39:35
8455,Daily,16.28,2026-01-20 08:39:35
8457,Leisure,22.6,2026-01-20 08:39:35
8457,Evening,21.63,2026-01-20 08:39:35
8457,Daily,20.19,2026-01-20 08:39:35
8457,Night Out,18.75,2026-01-20 08:39:35
8457,Business,16.83,2026-01-20 08:39:35
8458,Daily,22.39,2026-01-20 08:39:35
8458,Business,20.96,2026-01-20 08:39:35
8458,Leisure,19.61,2026-01-20 08:39:35
8461,Daily,21.8,2026-01-20 08:39:35
8461,Leisure,21.51,2026-01-20 08:39:35
8461,Business,17.83,2026-01-20 08:39:35
8463,Leisure,29.25,2026-01-20 08:39:35
8463,Daily,26.53,2026-01-20 08:39:35
8463,Business,20.41,2026-01-20 08:39:35
8465,Daily,23.98,2026-01-20 08:39:35
8465,Leisure,23.82,2026-01-20 08:39:35
8465,Business,19.15,2026-01-20 08:39:35
8468,Daily,24.22,2026-01-20 08:39:35
8468,Leisure,24.22,2026-01-20 08:39:35
8468,Business,22.42,2026-01-20 08:39:35
8472,Evening,27.37,2026-01-20 08:39:35
8472,Night Out,26.26,2026-01-20 08:39:35
8472,Daily,17.88,2026-01-20 08:39:35
8472,Leisure,16.76,2026-01-20 08:39:35
8473,Daily,21.13,2026-01-20 08:39:35
8473,Business,19.81,2026-01-20 08:39:35
8473,Leisure,18.82,2026-01-20 08:39:35
8473,Evening,17.67,2026-01-20 08:39:35
8473,Night Out,16.61,2026-01-20 08:39:35
8476,Leisure,22.96,2026-01-20 08:39:35
8476,Daily,20.41,2026-01-20 08:39:35
8476,Night Out,19.9,2026-01-20 08:39:35
8476,Evening,19.39,2026-01-20 08:39:35
8476,Business,17.35,2026-01-20 08:39:35
8488,Daily,24.38,2026-01-20 08:39:35
8488,Leisure,23.55,2026-01-20 08:39:35
8488,Business,21.9,2026-01-20 08:39:35
8488,Evening,17.36,2026-01-20 08:39:35
8492,Daily,23.85,2026-01-20 08:39:35
8492,Business,23.36,2026-01-20 08:39:35
8492,Leisure,21.42,2026-01-20 08:39:35
8493,Leisure,26.61,2026-01-20 08:39:35
8493,Evening,21.77,2026-01-20 08:39:35
8493,Night Out,19.35,2026-01-20 08:39:35
8493,Daily,16.13,2026-01-20 08:39:35
8497,Evening,27.82,2026-01-20 08:39:35
8497,Night Out,25.32,2026-01-20 08:39:35
8497,Leisure,16.98,2026-01-20 08:39:35
8497,Daily,16.05,2026-01-20 08:39:35
8500,Evening,26.57,2026-01-20 08:39:35
8500,Night Out,25.57,2026-01-20 08:39:35
8500,Leisure,18.76,2026-01-20 08:39:35
8500,Daily,15.47,2026-01-20 08:39:35
8502,Leisure,21.88,2026-01-20 08:39:35
8502,Daily,19.79,2026-01-20 08:39:35
8502,Business,19.79,2026-01-20 08:39:35
8502,Evening,15.62,2026-01-20 08:39:35
8505,Evening,29.79,2026-01-20 08:39:35
8505,Night Out,27.18,2026-01-20 08:39:35
8505,Daily,16.16,2026-01-20 08:39:35
8506,Daily,24.82,2026-01-20 08:39:35
8506,Leisure,24.09,2026-01-20 08:39:35
8506,Business,22.63,2026-01-20 08:39:35
8509,Daily,22.77,2026-01-20 08:39:35
8509,Business,21.52,2026-01-20 08:39:35
8509,Leisure,20.75,2026-01-20 08:39:35
8509,Evening,15.54,2026-01-20 08:39:35
8509,Night Out,15.07,2026-01-20 08:39:35
8513,Evening,27.57,2026-01-20 08:39:35
8513,Night Out,25.5,2026-01-20 08:39:35
8513,Daily,15.95,2026-01-20 08:39:35
8513,Business,15.77,2026-01-20 08:39:35
8513,Leisure,15.23,2026-01-20 08:39:35
8514,Daily,28.49,2026-01-20 08:39:35
8514,Leisure,27.37,2026-01-20 08:39:35
8514,Business,25.7,2026-01-20 08:39:35
8517,Evening,31.32,2026-01-20 08:39:35
8517,Night Out,30.35,2026-01-20 08:39:35
8517,Leisure,15.76,2026-01-20 08:39:35
8518,Daily,26.72,2026-01-20 08:39:35
8518,Business,25.19,2026-01-20 08:39:35
8518,Leisure,22.9,2026-01-20 08:39:35
8521,Evening,28.27,2026-01-20 08:39:35
8521,Night Out,25.77,2026-01-20 08:39:35
8521,Leisure,18.68,2026-01-20 08:39:35
8522,Leisure,28.4,2026-01-20 08:39:35
8522,Daily,27.78,2026-01-20 08:39:35
8522,Business,20.99,2026-01-20 08:39:35
8526,Leisure,29.47,2026-01-20 08:39:35
8526,Daily,25.26,2026-01-20 08:39:35
8526,Business,18.95,2026-01-20 08:39:35
8529,Daily,27.35,2026-01-20 08:39:35
8529,Leisure,24.82,2026-01-20 08:39:35
8529,Business,24.37,2026-01-20 08:39:35
8533,Evening,31.76,2026-01-20 08:39:35
8533,Night Out,29.08,2026-01-20 08:39:35
8533,Leisure,17.47,2026-01-20 08:39:35
8537,Night Out,25.76,2026-01-20 08:39:35
8537,Evening,24.24,2026-01-20 08:39:35
8537,Leisure,21.21,2026-01-20 08:39:35
8537,Daily,16.67,2026-01-20 08:39:35
8539,Daily,24.23,2026-01-20 08:39:35
8539,Business,22.54,2026-01-20 08:39:35
8539,Leisure,20.95,2026-01-20 08:39:35
8542,Leisure,28.26,2026-01-20 08:39:35
8542,Evening,20.65,2026-01-20 08:39:35
8542,Night Out,19.57,2026-01-20 08:39:35
8542,Daily,18.48,2026-01-20 08:39:35
8543,Leisure,22.9,2026-01-20 08:39:35
8543,Daily,22.66,2026-01-20 08:39:35
8543,Business,19.98,2026-01-20 08:39:35
8546,Leisure,32.17,2026-01-20 08:39:35
8546,Daily,31.3,2026-01-20 08:39:35
8546,Business,22.61,2026-01-20 08:39:35
8547,Evening,21.68,2026-01-20 08:39:35
8547,Daily,21.49,2026-01-20 08:39:35
8547,Night Out,20.81,2026-01-20 08:39:35
8547,Business,18.97,2026-01-20 08:39:35
8547,Leisure,17.04,2026-01-20 08:39:35
8550,Daily,26.97,2026-01-20 08:39:35
8550,Leisure,26.97,2026-01-20 08:39:35
8550,Business,23.6,2026-01-20 08:39:35
8551,Daily,26.68,2026-01-20 08:39:35
8551,Leisure,24.48,2026-01-20 08:39:35
8551,Business,24.36,2026-01-20 08:39:35
8555,Daily,26.95,2026-01-20 08:39:35
8555,Leisure,26.24,2026-01-20 08:39:35
8555,Business,22.7,2026-01-20 08:39:35
8558,Business,26.96,2026-01-20 08:39:35
8558,Daily,25.22,2026-01-20 08:39:35
8558,Leisure,25.22,2026-01-20 08:39:35
8559,Daily,23.75,2026-01-20 08:39:35
8559,Business,21.9,2026-01-20 08:39:35
8559,Leisure,21.09,2026-01-20 08:39:35
8562,Daily,25.53,2026-01-20 08:39:35
8562,Business,23.4,2026-01-20 08:39:35
8562,Leisure,21.99,2026-01-20 08:39:35
8563,Daily,25.28,2026-01-20 08:39:35
8563,Leisure,24.03,2026-01-20 08:39:35
8563,Business,23.28,2026-01-20 08:39:35
8567,Daily,25.36,2026-01-20 08:39:35
8567,Business,24.88,2026-01-20 08:39:35
8567,Leisure,24.17,2026-01-20 08:39:35
8570,Daily,28.57,2026-01-20 08:39:35
8570,Leisure,24.68,2026-01-20 08:39:35
8570,Business,19.48,2026-01-20 08:39:35
8571,Leisure,22.43,2026-01-20 08:39:35
8571,Daily,21.11,2026-01-20 08:39:35
8571,Business,20.84,2026-01-20 08:39:35
8571,Evening,19.26,2026-01-20 08:39:35
8571,Night Out,16.36,2026-01-20 08:39:35
8578,Daily,26.73,2026-01-20 08:39:35
8578,Business,24.54,2026-01-20 08:39:35
8578,Leisure,22.93,2026-01-20 08:39:35
8579,Daily,25.81,2026-01-20 08:39:35
8579,Leisure,25.81,2026-01-20 08:39:35
8579,Business,23.66,2026-01-20 08:39:35
8582,Daily,24.43,2026-01-20 08:39:35
8582,Leisure,23.62,2026-01-20 08:39:35
8582,Business,23.22,2026-01-20 08:39:35
8582,Evening,15.03,2026-01-20 08:39:35
8584,Daily,29.55,2026-01-20 08:39:35
8584,Leisure,26.14,2026-01-20 08:39:35
8584,Business,25.0,2026-01-20 08:39:35
8586,Daily,21.65,2026-01-20 08:39:35
8586,Leisure,21.19,2026-01-20 08:39:35
8586,Business,20.88,2026-01-20 08:39:35
8586,Evening,18.6,2026-01-20 08:39:35
8586,Night Out,17.68,2026-01-20 08:39:35
8588,Daily,31.0,2026-01-20 08:39:35
8588,Leisure,31.0,2026-01-20 08:39:35
8588,Business,25.0,2026-01-20 08:39:35
8590,Night Out,24.1,2026-01-20 08:39:35
8590,Evening,23.08,2026-01-20 08:39:35
8590,Business,18.97,2026-01-20 08:39:35
8590,Leisure,18.46,2026-01-20 08:39:35
8590,Daily,15.38,2026-01-20 08:39:35
8592,Leisure,27.18,2026-01-20 08:39:35
8592,Daily,23.3,2026-01-20 08:39:35
8592,Business,20.39,2026-01-20 08:39:35
8592,Evening,15.53,2026-01-20 08:39:35
8594,Business,24.93,2026-01-20 08:39:35
8594,Daily,24.33,2026-01-20 08:39:35
8594,Leisure,18.55,2026-01-20 08:39:35
8594,Night Out,16.62,2026-01-20 08:39:35
8594,Evening,15.58,2026-01-20 08:39:35
8596,Daily,30.77,2026-01-20 08:39:35
