PERFUME_ID,SEASON,ratio,LOAD_DT
8425,Winter,35.38,2026-01-20 08:39:39
8425,Fall,35.38,2026-01-20 08:39:39
8425,Spring,24.62,2026-01-20 08:39:39
8427,Summer,48.62,2026-01-20 08:39:39
8427,Spring,41.44,2026-01-20 08:39:39
8429,Summer,36.92,2026-01-20 08:39:39
8429,Spring,35.38,2026-01-20 08:39:39
8429,Fall,21.54,2026-01-20 08:39:39
8436,Fall,33.16,2026-01-20 08:39:39
8436,Spring,26.42,2026-01-20 08:39:39
8436,Winter,20.73,2026-01-20 08:39:39
8439,Winter,44.86,2026-01-20 08:39:39
8439,Fall,42.16,2026-01-20 08:39:39
8440,Summer,48.72,2026-01-20 08:39:39
8440,Spring,43.59,2026-01-20 08:39:39
8447,Spring,35.77,2026-01-20 08:39:39
8447,Summer,32.52,2026-01-20 08:39:39
8447,Fall,21.95,2026-01-20 08:39:39
8448,Fall,32.69,2026-01-20 08:39:39
8448,Spring,28.85,2026-01-20 08:39:39
8448,Winter,25.0,2026-01-20 08:39:39
8455,Spring,36.36,2026-01-20 08:39:39
8455,Summer,30.3,2026-01-20 08:39:39
8455,Fall,27.27,2026-01-20 08:39:39
8457,Fall,33.33,2026-01-20 08:39:39
8457,Winter,27.27,2026-01-20 08:39:39
8457,Spring,26.67,2026-01-20 08:39:39
8458,Spring,30.41,2026-01-20 08:39:39
8458,Summer,28.06,2026-01-20 08:39:39
8458,Fall,25.4,2026-01-20 08:39:39
8461,Spring,31.9,2026-01-20 08:39:39
8461,Summer,28.7,2026-01-20 08:39:39
8461,Fall,25.12,2026-01-20 08:39:39
8463,Spring,38.46,2026-01-20 08:39:39
8463,Summer,27.35,2026-01-20 08:39:39
8463,Fall,23.08,2026-01-20 08:39:39
8465,Summer,42.39,2026-01-20 08:39:39
8465,Spring,37.42,2026-01-20 08:39:39
8468,Spring,32.79,2026-01-20 08:39:39
8468,Fall,26.78,2026-01-20 08:39:39
8468,Summer,24.04,2026-01-20 08:39:39
8472,Fall,33.55,2026-01-20 08:39:39
8472,Winter,32.89,2026-01-20 08:39:39
8472,Spring,21.71,2026-01-20 08:39:39
8473,Spring,28.48,2026-01-20 08:39:39
8473,Fall,27.38,2026-01-20 08:39:39
8473,Summer,24.02,2026-01-20 08:39:39
8473,Winter,20.12,2026-01-20 08:39:39
8476,Spring,31.37,2026-01-20 08:39:39
8476,Fall,28.1,2026-01-20 08:39:39
8476,Summer,22.22,2026-01-20 08:39:39
8488,Fall,28.64,2026-01-20 08:39:39
8488,Spring,28.14,2026-01-20 08:39:39
8488,Summer,23.12,2026-01-20 08:39:39
8488,Winter,20.1,2026-01-20 08:39:39
