PERFUME_ID,OCCASION,VOTE,LOAD_DT
8329,Leisure,21,2026-01-20 08:41:50
8329,Daily,18,2026-01-20 08:41:50
8329,Business,16,2026-01-20 08:41:50
8329,Sport,5,2026-01-20 08:41:50
8329,Night Out,4,2026-01-20 08:41:50
8329,Evening,4,2026-01-20 08:41:50
8331,Leisure,2,2026-01-20 08:41:50
8331,Night Out,2,2026-01-20 08:41:50
8331,Evening,2,2026-01-20 08:41:50
8331,Daily,1,2026-01-20 08:41:50
8334,Leisure,22,2026-01-20 08:41:50
8334,Evening,14,2026-01-20 08:41:50
8334,Night Out,13,2026-01-20 08:41:50
8334,Daily,10,2026-01-20 08:41:50
8334,Business,6,2026-01-20 08:41:50
8335,Daily,1,2026-01-20 08:41:50
8335,Leisure,1,2026-01-20 08:41:50
8335,Business,1,2026-01-20 08:41:50
8337,Leisure,16,2026-01-20 08:41:50
8337,Daily,13,2026-01-20 08:41:50
8337,Night Out,11,2026-01-20 08:41:50
8337,Evening,11,2026-01-20 08:41:50
8337,Business,10,2026-01-20 08:41:50
8338,Daily,18,2026-01-20 08:41:50
8338,Leisure,18,2026-01-20 08:41:50
8338,Business,15,2026-01-20 08:41:50
8338,Evening,7,2026-01-20 08:41:50
8338,Sport,6,2026-01-20 08:41:50
8338,Night Out,6,2026-01-20 08:41:50
8339,Night Out,3,2026-01-20 08:41:50
8339,Evening,3,2026-01-20 08:41:50
8339,Business,2,2026-01-20 08:41:50
8339,Daily,1,2026-01-20 08:41:50
8339,Sport,1,2026-01-20 08:41:50
8339,Leisure,1,2026-01-20 08:41:50
8341,Leisure,20,2026-01-20 08:41:50
8341,Business,17,2026-01-20 08:41:50
8341,Daily,16,2026-01-20 08:41:50
8341,Night Out,10,2026-01-20 08:41:50
8341,Evening,5,2026-01-20 08:41:50
8344,Daily,15,2026-01-20 08:41:50
8344,Leisure,15,2026-01-20 08:41:50
8344,Night Out,13,2026-01-20 08:41:50
8344,Business,10,2026-01-20 08:41:50
8344,Evening,10,2026-01-20 08:41:50
8348,Daily,1,2026-01-20 08:41:50
8348,Sport,1,2026-01-20 08:41:50
