PERFUME_ID,PERFUME_NAME,PERFUME_BRAND,RELEASE_YEAR,CONCENTRATION,PERFUMER,IMG_LINK,LOAD_DT
8337,I Love New York for Holidays,Bond No. 9,2013,,,https://media.parfumo.com/perfume_social/7f/7f46a5-i-love-new-york-for-holidays-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8338,Antihéros,Etat Libre D Orange,2006,,Antoine Maisondieu,https://media.parfumo.com/perfume_social/7e/7e8dcb-antiheros-etat-libre-d-orange_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8339,Deep Viola,Byredo,2020,,,https://media.parfumo.com/perfume_social/23/239e30-deep-viola-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8341,Gold Coast,Bond No. 9,2019,,Michel Almairac,https://media.parfumo.com/perfume_social/26/26e1af-gold-coast-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8344,Bendelirious,Etat Libre D Orange,2008,,Antoine Lie,https://media.parfumo.com/perfume_social/38/38645c-bendelirious-etat-libre-d-orange_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8348,Mojave Ghost,Byredo,2016,Hair Perfume,,https://media.parfumo.com/perfume_social/f8/f85b92-mojave-ghost-hair-perfume-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8351,I Love New York for Him,Bond No. 9,2011,,,https://media.parfumo.com/perfume_social/b0/b0b7a1-i-love-new-york-for-him-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8352,Malaise of the 1970sSex Pistols,Etat Libre D Orange,2010,,Mathilde Bijaoui,https://media.parfumo.com/perfume_social/81/81c34f-malaise-of-the-1970s-sex-pistols-etat-libre-d-orange_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8353,Blanche,Byredo,,Huile Parfum,,https://media.parfumo.com/perfume_social/a0/a0fc14-blanche-huile-parfum-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8354,Soho,Bond No. 9,2016,,,https://media.parfumo.com/perfume_social/b0/b03723-soho-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8356,Above the Waves,Etat Libre D Orange,2025,,"Mathieu Nardin,Mane",https://media.parfumo.com/perfume_social/ad/adbbdb_above-the-waves-etat-libre-d-orange_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8357,Rodeo,Byredo,2016,,,https://media.parfumo.com/perfume_social/df/df3ee3-rodeo-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8359,Dubai Ruby,Bond No. 9,2015,,,https://media.parfumo.com/perfume_social/68/687125-dubai-ruby-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8360,Uruk Chronicles,Etat Libre D Orange,2025,,,https://media.parfumo.com/perfume_social/2c/2cd42a-uruk-chronicles-etat-libre-d-orange_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8361,Westbrook,Byredo,2015,,Jérôme Epinette,https://media.parfumo.com/perfume_social/3c/3c5441-westbrook-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8362,New York Patchouli,Bond No. 9,2013,,,https://media.parfumo.com/perfume_social/5c/5c1ec6-new-york-patchouli-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8367,Beekman Place,Bond No. 9,2024,,"Claude Dir,Mane",https://media.parfumo.com/perfume_social/a9/a99ce2-beekman-place-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8369,Mojave Ghost,Byredo,,Huile Parfum,,https://media.parfumo.com/perfume_social/c8/c826ab-mojave-ghost-huile-parfum-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8375,Saks Fifth Avenue for Her,Bond No. 9,2007,,Michel Almairac,https://media.parfumo.com/perfume_social/d1/d18c17-saks-fifth-avenue-for-her-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8379,Park Avenue South,Bond No. 9,2015,,,https://media.parfumo.com/perfume_social/99/996968-park-avenue-south-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8383,Gramercy Park,Bond No. 9,2003,,Robertet,https://media.parfumo.com/perfume_social/4e/4e0d4b-gramercy-park-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8387,Great Jones,Bond No. 9,2003,,Francis Camail,https://media.parfumo.com/perfume_social/99/99acc7-great-jones-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8391,New York Fling,Bond No. 9,2003,,Laurent Le Guernec,https://media.parfumo.com/perfume_social/4a/4afdd5-new-york-fling-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8394,My New York,Bond No. 9,2020,,Michel Almairac,https://media.parfumo.com/perfume_social/a6/a6ed00-my-new-york-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8398,Bond Number One,Bond No. 9,2024,,"Vincent Schaller,DSM-Firmenich",https://media.parfumo.com/perfume_social/f9/f9c527-bond-number-one-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8399,Kenzo Amour,Kenzo,2006,,"Daphné Bugey,Olivier Cresp",https://media.parfumo.com/perfume_social/f2/f25c99-kenzo-amour-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8402,Dubai Amber,Bond No. 9,2016,,,https://media.parfumo.com/perfume_social/df/df63ba-dubai-amber-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8403,Flower by Kenzo,Kenzo,2000,Eau de Parfum,Alberto Morillas,https://media.parfumo.com/perfume_social/73/73ccac-flower-by-kenzo-eau-de-parfum-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8406,H.O.T. Always,Bond No. 9,2003,,Robertet,https://media.parfumo.com/perfume_social/82/8262e4-h-o-t-always-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8407,Kenzo JungleJungle L'Éléphant,Kenzo,1996,,"Dominique Ropion,Jean-Louis Sieuzac",https://media.parfumo.com/perfume_social/f1/f19f11-kenzo-jungle-jungle-l-elephant-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8408,Noble Fig,Ferrari,2015,,,https://media.parfumo.com/perfume_social/ef/ef7185-noble-fig-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8411,Kenzo Homme,Kenzo,2022,Eau de Parfum,Quentin Bisch,https://media.parfumo.com/perfume_social/45/457fe1-kenzo-homme-2022-eau-de-parfum-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8412,Essence Oud,Ferrari,2012,,Nathalie Feisthauer,https://media.parfumo.com/perfume_social/26/26140e-essence-oud-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8414,Dubai Indigo,Bond No. 9,2015,,,https://media.parfumo.com/perfume_social/29/2988df-dubai-indigo-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8415,Kenzo Homme,Kenzo,2021,Eau de Toilette Intense,Quentin Bisch,https://media.parfumo.com/perfume_social/b9/b914da-kenzo-homme-eau-de-toilette-intense-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8416,Ferrari Uomo,Ferrari,2009,Eau de Toilette,Alberto Morillas,https://media.parfumo.com/perfume_social/81/812e49-ferrari-uomo-eau-de-toilette-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8418,Dubai Emerald,Bond No. 9,2015,,,https://media.parfumo.com/perfume_social/44/44a53a-dubai-emerald-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8419,Kenzo pour Homme,Kenzo,1991,Eau de Toilette,Christian Mathieu,https://media.parfumo.com/perfume_social/e1/e17da4-kenzo-pour-homme-eau-de-toilette-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8421,Radiant Bergamot,Ferrari,2016,,,https://media.parfumo.com/perfume_social/13/136934-radiant-bergamot-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8422,Harrods for Him,Bond No. 9,2009,,Laurent Le Guernec,https://media.parfumo.com/perfume_social/78/783419-harrods-for-him-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8423,Kenzo Power,Kenzo,2008,Eau de Toilette,Olivier Polge,https://media.parfumo.com/perfume_social/f3/f32635-kenzo-power-eau-de-toilette-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8425,Leather Essence,Ferrari,2013,,Alexandra Carlin,https://media.parfumo.com/perfume_social/d2/d2c08d-leather-essence-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8426,Spring Fling,Bond No. 9,2018,,,https://media.parfumo.com/perfume_social/50/50329e-spring-fling-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8427,L'Eau par Kenzo pour Homme,Kenzo,1999,Eau de Toilette,Olivier Cresp,https://media.parfumo.com/perfume_social/dc/dc4704_l-eau-par-kenzo-pour-homme-eau-de-toilette-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8429,Pure Lavender,Ferrari,2015,,,https://media.parfumo.com/perfume_social/f4/f40244-pure-lavender-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8430,Harrods Oud,Bond No. 9,2009,,Laurent Le Guernec,https://media.parfumo.com/perfume_social/24/241957-harrods-oud-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8434,Dubai Black Sapphire,Bond No. 9,2016,,,https://media.parfumo.com/perfume_social/ba/ba3d45-dubai-black-sapphire-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8436,Jungle pour Homme,Kenzo,1998,Eau de Toilette,Olivier Cresp,https://media.parfumo.com/perfume_social/cd/cd4142_jungle-pour-homme-eau-de-toilette-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8439,Kenzo Amour Le Parfum,Kenzo,2008,,Daphné Bugey,https://media.parfumo.com/perfume_social/9b/9bcbd2-kenzo-amour-le-parfum-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8440,Essence Musk,Ferrari,2013,,"Alexis Dadier,Symrise",https://media.parfumo.com/perfume_social/56/569099-essence-musk-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8442,Dubai Amethyst,Bond No. 9,2016,,,https://media.parfumo.com/perfume_social/3a/3af2e7-dubai-amethyst-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8447,Kenzo Homme,Kenzo,,Eau de Toilette,Christian Mathieu,https://media.parfumo.com/perfume_social/8f/8f857f-kenzo-homme-eau-de-toilette-kenzo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8448,Scuderia Ferrari - Forte,Ferrari,2017,,,https://media.parfumo.com/perfume_social/76/761c66-scuderia-ferrari-forte-ferrari_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8450,Nouveau Bowery,Bond No. 9,2003,,Robertet,https://media.parfumo.com/perfume_social/11/11ca7d-nouveau-bowery-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
