perfume_id	perfume	brand	release_year	concentration	perfumer	accord	audience	season	occasion	top_note	middle_note	base_note	tags	img	link	total_votes
P_08277	HTTP://WWW.BONDNO9.COM	Bond No. 9	2013.0		Michel Almairac	{'Citrus': '10', 'Spicy': '5', 'Synthetic': '8', 'Sweet': '9', 'Woody': '4', 'Green': '4', 'Fruity': '12', 'Fresh': '12'}	{'Masculine': '14', 'Feminine': '6', 'Classic': '8', 'Modern': '9'}	{'Winter': '9', 'Fall': '15', 'Summer': '14', 'Spring': '14'}	{'Daily': '10', 'Sport': '7', 'Leisure': '12', 'Night Out': '14', 'Business': '10', 'Evening': '11'}	Juniper berry, Pineapple, Yellow bergamot	Apple, Cedarwood, Blackcurrant	Musk, Moss, Amber, Patchouli		https://media.parfumo.com/perfume_social/4b/4b3e18-http-www-bondno9-com-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/httpbondno9_com	64
P_08281	Chelsea Flowers	Bond No. 9	2003.0	Eau de Parfum	Laurent Le Guernec	{'Synthetic': '8', 'Sweet': '5', 'Fruity': '7', 'Fresh': '15', 'Floral': '22'}	{'Feminine': '21', 'Classic': '6', 'Modern': '14'}	{'Fall': '4', 'Summer': '20', 'Spring': '22'}	{'Daily': '17', 'Sport': '3', 'Leisure': '21', 'Night Out': '5', 'Business': '15'}	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak		https://media.parfumo.com/perfume_social/3f/3fb791-chelsea-flowers-eau-de-parfum-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Chelsea_Flowers	57
P_08296	Union Square	Bond No. 9	2008.0	Eau de Parfum	Stephen Nilsen	{'Spicy': '4', 'Synthetic': '15', 'Sweet': '4', 'Woody': '4', 'Green': '9', 'Fruity': '4', 'Fresh': '13', 'Floral': '20', 'Aquatic': '7'}	{'Masculine': '9', 'Feminine': '19', 'Classic': '4', 'Modern': '10'}	{'Winter': '4', 'Fall': '6', 'Summer': '18', 'Spring': '19'}	{'Daily': '16', 'Sport': '4', 'Leisure': '16', 'Night Out': '6', 'Business': '12', 'Evening': '6'}	Lily of the valley, Blue freesia, Green notes, Musk, Silver birch, Amber	Lily of the valley, Blue freesia, Green notes, Musk, Silver birch, Amber	Lily of the valley, Blue freesia, Green notes, Musk, Silver birch, Amber		https://media.parfumo.com/perfume_social/6d/6d7dbc-union-square-eau-de-parfum-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Andy_Warhol_Union_Square	80
P_08299	La Botte	Byredo	2016.0		Jérôme Epinette	{'Spicy': '5', 'Synthetic': '4', 'Sweet': '3', 'Powdery': '3', 'Leathery': '9', 'Woody': '8', 'Green': '4', 'Fruity': '3', 'Fresh': '3', 'Creamy': '3', 'Floral': '8', 'Animal': '3'}	{'Masculine': '9', 'Feminine': '7', 'Classic': '5', 'Modern': '5'}	{'Winter': '6', 'Fall': '7', 'Summer': '6', 'Spring': '7'}	{'Daily': '2', 'Leisure': '5', 'Night Out': '8', 'Business': '1', 'Evening': '7'}	Jasmine absolute	Civettone, Violet	Mahogany wood, Suede		https://media.parfumo.com/perfume_social/f3/f34705-la-botte-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/la-botte	56
P_08309	Hudson Yards	Bond No. 9	2014.0		Aurélien Guichard	{'Synthetic': '7', 'Sweet': '11', 'Green': '14', 'Fruity': '14', 'Fresh': '18', 'Creamy': '5', 'Floral': '20'}	{'Masculine': '5', 'Feminine': '22', 'Classic': '5', 'Modern': '9'}	{'Winter': '2', 'Fall': '5', 'Summer': '18', 'Spring': '21'}	{'Daily': '17', 'Sport': '6', 'Leisure': '18', 'Night Out': '7', 'Business': '14'}	Freesia, Lily of the valley, Pink pepper	Bulgarian rose, Peony, Lychee	Orange blossom, White musk, Iris		https://media.parfumo.com/perfume_social/6d/6dc2c7-hudson-yards-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Hudson_Yards	89
P_08313	Off-BroadwayWest Broadway	Bond No. 9	2003.0		Robertet	{'Citrus': '14', 'Spicy': '8', 'Sweet': '5', 'Woody': '6', 'Resinous': '6', 'Green': '15', 'Fruity': '6', 'Fresh': '12', 'Floral': '13'}	{'Masculine': '17', 'Feminine': '11', 'Classic': '7', 'Modern': '9'}	{'Winter': '9', 'Fall': '12', 'Summer': '15', 'Spring': '18'}	{'Daily': '16', 'Sport': '3', 'Leisure': '18', 'Night Out': '6', 'Business': '10', 'Evening': '4'}	Blackcurrant, Grapefruit blossom	Lily, Nutmeg, Osmanthus	Musk, Patchouli, Sandalwood, Vetiver		https://media.parfumo.com/perfume_social/60/6006c0-west-broadway-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/off-broadway-west-broadway	85
P_08317	Riverside Drive	Bond No. 9	2003.0		Maurice Roucel	{'Citrus': '4', 'Spicy': '11', 'Sweet': '6', 'Woody': '12', 'Green': '14', 'Fruity': '8', 'Fresh': '11', 'Earthy': '5', 'Floral': '11'}	{'Masculine': '18', 'Feminine': '3', 'Classic': '6', 'Modern': '5'}	{'Winter': '6', 'Fall': '12', 'Summer': '13', 'Spring': '15'}	{'Daily': '13', 'Leisure': '14', 'Night Out': '5', 'Business': '12', 'Evening': '6'}	Violet, Basil, Watery fruits	Pineapple, Lily of the valley, Rose	Oakmoss, Cedarwood, Patchouli, Sandalwood		https://media.parfumo.com/perfume_social/a5/a58c98-riverside-drive-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Riverside_Drive	82
P_08319	Don't Get Me Wrong BabyDon't Get Me Wrong Baby, I Don't Swallow	Etat Libre D Orange	2007.0		Antoine Maisondieu	{'Synthetic': '20', 'Sweet': '16', 'Green': '8', 'Gourmand': '7', 'Fresh': '19', 'Floral': '36', 'Animal': '11'}	{'Masculine': '7', 'Feminine': '37', 'Classic': '10', 'Modern': '17'}	{'Winter': '10', 'Fall': '18', 'Summer': '22', 'Spring': '33'}	{'Daily': '28', 'Sport': '7', 'Leisure': '29', 'Night Out': '13', 'Business': '17', 'Evening': '12'}	Jasmine, Lily of the valley, Aldehydes, Musk, Orange blossom, Amber, Patchouli, Cocoa, Marshmallow	Jasmine, Lily of the valley, Aldehydes, Musk, Orange blossom, Amber, Patchouli, Cocoa, Marshmallow	Jasmine, Lily of the valley, Aldehydes, Musk, Orange blossom, Amber, Patchouli, Cocoa, Marshmallow		https://media.parfumo.com/perfume_social/bd/bd4c15-don-t-get-me-wrong-baby-don-t-get-me-wrong-baby-i-don-t-swallow-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/don-t-get-me-wrong-baby-i-don-t-swallow	117
P_08321	Nolita	Bond No. 9	2017.0			{'Citrus': '4', 'Spicy': '3', 'Sweet': '11', 'Woody': '6', 'Green': '3', 'Fruity': '10', 'Fresh': '6', 'Creamy': '4', 'Floral': '15'}	{'Feminine': '16', 'Classic': '5', 'Modern': '7'}	{'Winter': '6', 'Fall': '11', 'Summer': '8', 'Spring': '13'}	{'Daily': '10', 'Leisure': '11', 'Night Out': '14', 'Business': '8', 'Evening': '10'}	Freesia, Tangerine	Jasmine sambac, Lily, Rose	Musk, Amber, Sandalwood		https://media.parfumo.com/perfume_social/16/1644a2-nolita-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Nolita	62
P_08325	Central Park South	Bond No. 9	2013.0			{'Spicy': '5', 'Synthetic': '11', 'Sweet': '6', 'Powdery': '4', 'Woody': '7', 'Green': '9', 'Fruity': '8', 'Fresh': '13', 'Floral': '25'}	{'Feminine': '22', 'Classic': '10', 'Modern': '8'}	{'Winter': '6', 'Fall': '10', 'Summer': '16', 'Spring': '21'}	{'Daily': '10', 'Sport': '3', 'Leisure': '15', 'Night Out': '17', 'Business': '9', 'Evening': '16'}	Grapefruit blossom, Blackcurrant bud, Clementine, Violet leaf	Lily of the valley, Jasmine, Acacia, Jonquil, Orris root, Tuberose	Musk, Sandalwood, Benzoin, Cedarwood		https://media.parfumo.com/perfume_social/64/6420a8-central-park-south-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Central_Park_South	88
P_08326	Nombril Immense	Etat Libre D Orange	2006.0		Nathalie Feisthauer	{'Spicy': '29', 'Powdery': '12', 'Oriental': '9', 'Woody': '21', 'Resinous': '11', 'Green': '11', 'Earthy': '26', 'Animal': '11'}	{'Masculine': '31', 'Feminine': '28', 'Classic': '9', 'Modern': '12'}	{'Winter': '26', 'Fall': '33', 'Summer': '17', 'Spring': '31'}	{'Daily': '26', 'Leisure': '31', 'Night Out': '18', 'Business': '18', 'Evening': '22'}	Patchouli, Bergamot, Vetiver, Amber, Carrot seed, Opoponax, Pepper, Peru balsam	Patchouli, Bergamot, Vetiver, Amber, Carrot seed, Opoponax, Pepper, Peru balsam	Patchouli, Bergamot, Vetiver, Amber, Carrot seed, Opoponax, Pepper, Peru balsam		https://media.parfumo.com/perfume_social/04/04480d-nombril-immense-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/Nombril_Immense	130
P_08329	Central Park	Bond No. 9	2004.0		Robertet	{'Citrus': '14', 'Spicy': '7', 'Synthetic': '5', 'Woody': '10', 'Green': '23', 'Fresh': '23', 'Floral': '8'}	{'Masculine': '21', 'Feminine': '14', 'Classic': '2', 'Modern': '2'}	{'Winter': '3', 'Fall': '6', 'Summer': '20', 'Spring': '22'}	{'Daily': '18', 'Sport': '5', 'Leisure': '21', 'Night Out': '4', 'Business': '16', 'Evening': '4'}	Vervain, Basil	Lily of the valley, Water jasmine	Kashmiri musk, Blue atlas cedar, Patchouli		https://media.parfumo.com/perfume_social/d3/d3869d-central-park-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Central_Park	90
P_08334	Encens et Bubblegum	Etat Libre D Orange	2006.0		Antoine Maisondieu	{'Spicy': '5', 'Synthetic': '17', 'Sweet': '15', 'Smoky': '13', 'Powdery': '5', 'Woody': '5', 'Resinous': '5', 'Fruity': '17', 'Floral': '14', 'Animal': '5'}	{'Masculine': '13', 'Feminine': '25', 'Classic': '6', 'Modern': '16'}	{'Winter': '12', 'Fall': '19', 'Summer': '12', 'Spring': '23'}	{'Daily': '10', 'Leisure': '22', 'Night Out': '13', 'Business': '6', 'Evening': '14'}	Peach, Raspberry	Orange blossom, Lily of the valley	Frankincense, Vanilla, Musk		https://media.parfumo.com/perfume_social/44/440991-encens-et-bubblegum-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/Encens__Bubblegum	101
P_08337	I Love New York for Holidays	Bond No. 9	2013.0			{'Spicy': '16', 'Synthetic': '8', 'Sweet': '13', 'Leathery': '10', 'Woody': '4', 'Gourmand': '11', 'Fruity': '16', 'Creamy': '4'}	{'Masculine': '10', 'Feminine': '17', 'Classic': '8', 'Modern': '11'}	{'Winter': '15', 'Fall': '16', 'Summer': '10', 'Spring': '11'}	{'Daily': '13', 'Leisure': '16', 'Night Out': '11', 'Business': '10', 'Evening': '11'}	Pomegranate, Apricot, Mandarin orange	Freesia, Fennel, Nutmeg	Praliné, Patchouli, Leather, Musk		https://media.parfumo.com/perfume_social/7f/7f46a5-i-love-new-york-for-holidays-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/I_Love_New_York_for_Holidays	82
P_08338	Antihéros	Etat Libre D Orange	2006.0		Antoine Maisondieu	{'Spicy': '11', 'Powdery': '6', 'Woody': '17', 'Green': '13', 'Fresh': '16', 'Fougère': '5', 'Floral': '15', 'Animal': '5'}	{'Masculine': '23', 'Feminine': '15', 'Classic': '11', 'Modern': '9'}	{'Winter': '12', 'Fall': '21', 'Summer': '15', 'Spring': '19'}	{'Daily': '18', 'Sport': '6', 'Leisure': '18', 'Night Out': '6', 'Business': '15', 'Evening': '7'}	Lavender	Cedarwood	Musk		https://media.parfumo.com/perfume_social/7e/7e8dcb-antiheros-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/Antiheros	88
P_08341	Gold Coast	Bond No. 9	2019.0		Michel Almairac	{'Synthetic': '5', 'Sweet': '11', 'Fruity': '16', 'Fresh': '20', 'Floral': '19', 'Aquatic': '12'}	{'Masculine': '6', 'Feminine': '23', 'Classic': '10', 'Modern': '14'}	{'Winter': '6', 'Fall': '6', 'Summer': '17', 'Spring': '19'}	{'Daily': '16', 'Leisure': '20', 'Night Out': '10', 'Business': '17', 'Evening': '5'}	Apricot, Lychee, Red apple	Rose, Rose absolute, Watermelon	Cedarwood, Musk, Vanilla		https://media.parfumo.com/perfume_social/26/26e1af-gold-coast-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/gold-coast	83
P_08344	Bendelirious	Etat Libre D Orange	2008.0		Antoine Lie	{'Synthetic': '8', 'Sweet': '16', 'Leathery': '14', 'Gourmand': '5', 'Fruity': '21', 'Fresh': '5', 'Floral': '19'}	{'Masculine': '8', 'Feminine': '24', 'Classic': '3', 'Modern': '10'}	{'Winter': '9', 'Fall': '15', 'Summer': '13', 'Spring': '21'}	{'Daily': '15', 'Leisure': '15', 'Night Out': '13', 'Business': '10', 'Evening': '10'}	Champagne, Grapefruit, Cherry candy	Orris absolute, Orris butter, Violet leaf absolute	Leather, Tonka bean absolute, Musk, Vetiver		https://media.parfumo.com/perfume_social/38/38645c-bendelirious-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/Bendelirious	88
P_08352	Malaise of the 1970sSex Pistols	Etat Libre D Orange	2010.0		Mathilde Bijaoui	{'Citrus': '6', 'Spicy': '8', 'Synthetic': '9', 'Woody': '8', 'Green': '4', 'Fruity': '4', 'Fresh': '9', 'Floral': '6'}	{'Masculine': '13', 'Feminine': '10', 'Classic': '5', 'Modern': '6'}	{'Winter': '3', 'Fall': '7', 'Summer': '13', 'Spring': '14'}	{'Daily': '9', 'Sport': '6', 'Leisure': '12', 'Night Out': '4', 'Business': '7', 'Evening': '3'}	Aldehydes, Leather, Ambrette, Black pepper, Heliotrope, Lemon, Orcanox, Patchouli, Plum	Aldehydes, Leather, Ambrette, Black pepper, Heliotrope, Lemon, Orcanox, Patchouli, Plum	Aldehydes, Leather, Ambrette, Black pepper, Heliotrope, Lemon, Orcanox, Patchouli, Plum		https://media.parfumo.com/perfume_social/81/81c34f-malaise-of-the-1970s-sex-pistols-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/Malaise_of_the_1970s_Sex_Pistols	54
P_08354	Soho	Bond No. 9	2016.0			{'Citrus': '6', 'Spicy': '6', 'Synthetic': '5', 'Sweet': '6', 'Woody': '12', 'Green': '10', 'Fruity': '10', 'Fresh': '10', 'Floral': '14'}	{'Masculine': '14', 'Feminine': '16', 'Classic': '8', 'Modern': '10'}	{'Winter': '3', 'Fall': '13', 'Summer': '15', 'Spring': '15'}	{'Daily': '11', 'Sport': '3', 'Leisure': '15', 'Night Out': '8', 'Business': '15', 'Evening': '6'}	Blackcurrant absolute, Petitgrain, Orange	Jasmine, Orange blossom, Orris root	Cedarwood, Oakmoss, Amber, Musk		https://media.parfumo.com/perfume_social/b0/b03723-soho-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Soho	79
P_08356	Above the Waves	Etat Libre D Orange	2025.0		Mathieu Nardin,Mane	{'Citrus': '10', 'Spicy': '10', 'Woody': '9', 'Green': '5', 'Fresh': '13', 'Floral': '3'}	{'Masculine': '12', 'Feminine': '11', 'Classic': '2', 'Modern': '9'}	{'Winter': '2', 'Fall': '11', 'Summer': '13', 'Spring': '11'}	{'Daily': '12', 'Sport': '6', 'Leisure': '11', 'Night Out': '4', 'Business': '12', 'Evening': '5'}	Bergamot, Cardamom, Frankincense	Ceylon tea, Black tea, Maté	Cedar, Tonka bean, Vetiver		https://media.parfumo.com/perfume_social/ad/adbbdb_above-the-waves-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/above-the-waves	50
P_08362	New York Patchouli	Bond No. 9	2013.0			{'Citrus': '3', 'Spicy': '4', 'Synthetic': '9', 'Sweet': '4', 'Woody': '12', 'Fruity': '6', 'Fresh': '9', 'Earthy': '3', 'Floral': '9'}	{'Masculine': '14', 'Feminine': '9', 'Modern': '2'}	{'Winter': '6', 'Fall': '9', 'Summer': '6', 'Spring': '13'}	{'Daily': '11', 'Leisure': '12', 'Night Out': '7', 'Business': '12', 'Evening': '7'}	Cardamom, Ginger, Grapefruit, Nutmeg	Patchouli, Pink orchid, Rose	Amber, Leather, Musk, Oakmoss, Sandalwood		https://media.parfumo.com/perfume_social/5c/5c1ec6-new-york-patchouli-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/New_York_Patchouli	59
P_08367	Beekman Place	Bond No. 9	2024.0		Claude Dir,Mane	{'Citrus': '9', 'Woody': '4', 'Green': '11', 'Fruity': '3', 'Fresh': '12', 'Chypre': '6', 'Aquatic': '12'}	{'Masculine': '12', 'Feminine': '2', 'Classic': '3', 'Modern': '9'}	{'Winter': '2', 'Fall': '4', 'Summer': '10', 'Spring': '11'}	{'Daily': '9', 'Sport': '8', 'Leisure': '11', 'Night Out': '2', 'Business': '10', 'Evening': '2'}	Bergamot, Pineapple, Blackcurrant, Lemon, Pear	Aquatic notes, Basil, Driftwood, Geranium	Baltic amber, Musk, Oakmoss, Patchouli, Sandalwood, Tonka bean		https://media.parfumo.com/perfume_social/a9/a99ce2-beekman-place-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/beekman-place	57
P_08379	Park Avenue South	Bond No. 9	2015.0			{'Synthetic': '9', 'Sweet': '14', 'Green': '4', 'Fruity': '18', 'Fresh': '8', 'Floral': '10'}	{'Masculine': '6', 'Feminine': '17', 'Classic': '2', 'Modern': '7'}	{'Winter': '4', 'Fall': '8', 'Summer': '15', 'Spring': '18'}	{'Daily': '14', 'Sport': '4', 'Leisure': '14', 'Night Out': '5', 'Business': '12', 'Evening': '6'}	Apple blossom	Jasmine, Peach	Musk, Amber		https://media.parfumo.com/perfume_social/99/996968-park-avenue-south-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Park_Avenue_South	63
P_08383	Gramercy Park	Bond No. 9	2003.0		Robertet	{'Citrus': '10', 'Synthetic': '4', 'Green': '16', 'Fruity': '9', 'Fresh': '15', 'Floral': '12', 'Aquatic': '4'}	{'Masculine': '13', 'Feminine': '13', 'Classic': '3', 'Modern': '6'}	{'Winter': '5', 'Fall': '8', 'Summer': '16', 'Spring': '18'}	{'Daily': '16', 'Sport': '4', 'Leisure': '15', 'Night Out': '5', 'Business': '14', 'Evening': '3'}	Green notes, Leaves	Cyclamen, Ivy, Lily of the valley	Crystal musk, Woods		https://media.parfumo.com/perfume_social/4e/4e0d4b-gramercy-park-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Gramercy_Park	70
P_08399	Kenzo Amour	Kenzo	2006.0		Daphné Bugey,Olivier Cresp	{'Sweet': '365', 'Powdery': '327', 'Oriental': '104', 'Woody': '84', 'Gourmand': '204', 'Creamy': '137', 'Floral': '200'}	{'Feminine': '401', 'Classic': '112', 'Modern': '171'}	{'Winter': '344', 'Fall': '357', 'Summer': '113', 'Spring': '262'}	{'Daily': '293', 'Leisure': '289', 'Night Out': '242', 'Business': '221', 'Evening': '270'}	Rice steam, White tea	Heliotrope, Cherry blossom, Frangipani	Vanilla, Thanaka wood, White musk, Frankincense		https://media.parfumo.com/perfume_social/f2/f25c99-kenzo-amour-kenzo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Kenzo/Kenzo_Amour	1421
P_08403	Flower by Kenzo	Kenzo	2000.0	Eau de Parfum	Alberto Morillas	{'Synthetic': '71', 'Sweet': '173', 'Powdery': '264', 'Fresh': '125', 'Creamy': '61', 'Floral': '346'}	{'Feminine': '351', 'Classic': '148', 'Modern': '143'}	{'Winter': '144', 'Fall': '213', 'Summer': '220', 'Spring': '318'}	{'Daily': '303', 'Leisure': '265', 'Night Out': '140', 'Business': '227', 'Evening': '138'}	Violet, Lychee, Ginger, Mandarin orange	Rose, Camellia, Mimosa	White musk, Amber, Frankincense, Vanilla, Patchouli		https://media.parfumo.com/perfume_social/73/73ccac-flower-by-kenzo-eau-de-parfum-kenzo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Kenzo/FlowerbyKenzo	1040
P_08407	Kenzo JungleJungle L'Éléphant	Kenzo	1996.0		Dominique Ropion,Jean-Louis Sieuzac	{'Spicy': '347', 'Sweet': '207', 'Oriental': '296', 'Woody': '135', 'Gourmand': '88', 'Fruity': '72', 'Floral': '77'}	{'Masculine': '111', 'Feminine': '342', 'Classic': '159', 'Modern': '91'}	{'Winter': '320', 'Fall': '295', 'Summer': '73', 'Spring': '107'}	{'Daily': '93', 'Leisure': '192', 'Night Out': '287', 'Business': '58', 'Evening': '315'}	Cardamom, Clove, Patchouli, Vanilla, Heliotrope, Liquorice, Ylang-ylang, Gardenia, Mandarin orange, Mango	Cardamom, Clove, Patchouli, Vanilla, Heliotrope, Liquorice, Ylang-ylang, Gardenia, Mandarin orange, Mango	Cardamom, Clove, Patchouli, Vanilla, Heliotrope, Liquorice, Ylang-ylang, Gardenia, Mandarin orange, Mango		https://media.parfumo.com/perfume_social/f1/f19f11-kenzo-jungle-jungle-l-elephant-kenzo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Kenzo/Kenzo_Jungle_Jungle_L_Elephant	1222
P_08408	Noble Fig	Ferrari	2015.0			{'Citrus': '10', 'Spicy': '19', 'Sweet': '20', 'Woody': '14', 'Green': '32', 'Fruity': '33', 'Fresh': '41', 'Creamy': '14', 'Floral': '11'}	{'Masculine': '49', 'Feminine': '37', 'Classic': '18', 'Modern': '26'}	{'Winter': '10', 'Fall': '26', 'Summer': '49', 'Spring': '48'}	{'Daily': '44', 'Sport': '12', 'Leisure': '47', 'Night Out': '7', 'Business': '33', 'Evening': '15'}	Fig leaf, Pink pepper, Mandarin orange	Clary sage, Iris	Musk, Patchouli		https://media.parfumo.com/perfume_social/ef/ef7185-noble-fig-ferrari_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Ferrari/Noble_Fig	194
P_08411	Kenzo Homme	Kenzo	2022.0	Eau de Parfum	Quentin Bisch	{'Spicy': '44', 'Synthetic': '37', 'Sweet': '50', 'Leathery': '111', 'Woody': '75', 'Fresh': '108', 'Aquatic': '122'}	{'Masculine': '131', 'Classic': '45', 'Modern': '92'}	{'Winter': '65', 'Fall': '113', 'Summer': '109', 'Spring': '127'}	{'Daily': '121', 'Sport': '42', 'Leisure': '114', 'Night Out': '74', 'Business': '85', 'Evening': '79'}	Marine notes	Leather	Patchouli		https://media.parfumo.com/perfume_social/45/457fe1-kenzo-homme-2022-eau-de-parfum-kenzo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Kenzo/kenzo-homme-2022-eau-de-parfum	547
P_08412	Essence Oud	Ferrari	2012.0		Nathalie Feisthauer	{'Spicy': '22', 'Sweet': '17', 'Smoky': '27', 'Oriental': '22', 'Leathery': '17', 'Woody': '31', 'Resinous': '23', 'Floral': '22'}	{'Masculine': '38', 'Feminine': '20', 'Classic': '12', 'Modern': '8'}	{'Winter': '36', 'Fall': '36', 'Summer': '5', 'Spring': '15'}	{'Daily': '14', 'Leisure': '18', 'Night Out': '30', 'Business': '10', 'Evening': '36'}	Rose, Saffron, Elemi resin	Oud, Frankincense, Caraway	Labdanum, Oud, Leather, Animalic notes		https://media.parfumo.com/perfume_social/26/26140e-essence-oud-ferrari_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Ferrari/Essence_Oud	181
P_08415	Kenzo Homme	Kenzo	2021.0	Eau de Toilette Intense	Quentin Bisch	{'Spicy': '51', 'Synthetic': '65', 'Woody': '108', 'Green': '35', 'Fruity': '29', 'Fresh': '122', 'Creamy': '30', 'Aquatic': '123'}	{'Masculine': '144', 'Feminine': '17', 'Classic': '43', 'Modern': '88'}	{'Winter': '32', 'Fall': '75', 'Summer': '133', 'Spring': '139'}	{'Daily': '117', 'Sport': '57', 'Leisure': '126', 'Night Out': '42', 'Business': '95', 'Evening': '53'}	Calypsone®, Pink pepper	Fig wood, Haitian vetiver	Akigalawood®, Australian sandalwood		https://media.parfumo.com/perfume_social/b9/b914da-kenzo-homme-eau-de-toilette-intense-kenzo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Kenzo/kenzo-homme-eau-de-toilette-intense	563
P_08416	Ferrari Uomo	Ferrari	2009.0	Eau de Toilette	Alberto Morillas	{'Citrus': '7', 'Spicy': '21', 'Sweet': '8', 'Leathery': '27', 'Woody': '22', 'Fresh': '9', 'Earthy': '10'}	{'Masculine': '29', 'Classic': '13', 'Modern': '8'}	{'Winter': '17', 'Fall': '25', 'Summer': '9', 'Spring': '19'}	{'Daily': '24', 'Leisure': '25', 'Night Out': '9', 'Business': '21', 'Evening': '18'}	Juniper berry, Bergamot, Lemon	Leather, Virginia cedar, Nutmeg	Patchouli, Labdanum, Tonka bean		https://media.parfumo.com/perfume_social/81/812e49-ferrari-uomo-eau-de-toilette-ferrari_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Ferrari/Ferrari_Uomo_Eau_de_Toilette	104
P_08419	Kenzo pour Homme	Kenzo	1991.0	Eau de Toilette	Christian Mathieu	{'Citrus': '40', 'Spicy': '75', 'Synthetic': '51', 'Woody': '84', 'Green': '68', 'Fresh': '127', 'Floral': '37', 'Aquatic': '122'}	{'Masculine': '158', 'Feminine': '19', 'Classic': '62', 'Modern': '75'}	{'Winter': '33', 'Fall': '81', 'Summer': '134', 'Spring': '136'}	{'Daily': '117', 'Sport': '61', 'Leisure': '125', 'Night Out': '62', 'Business': '97', 'Evening': '62'}	Green notes, Fruity notes, Lemon, Bergamot, Clary sage	Ozone, Iris, Jasmine, Juniper, Lily of the valley, Peach, Rose	Musk, Moss, Cedar, Sandalwood, Ambergris		https://media.parfumo.com/perfume_social/e1/e17da4-kenzo-pour-homme-eau-de-toilette-kenzo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Kenzo/Kenzo_pour_Homme_Eau_de_Toilette	604
