perfume_id	perfume	brand	release_year	concentration	perfumer	accord	audience	season	occasion	top_note	middle_note	base_note	tags	img	link	total_votes
P_18561	Orange Sanguine	Atelier Cologne	2010.0		Ralf Schwieger	"{""Citrus"": 319, ""Sweet"": 114, ""Woody"": 92, ""Fruity"": 316, ""Fresh"": 275, ""Floral"": 68}"	"{""Masculine"": 295, ""Feminine"": 322, ""Classic"": 130, ""Modern"": 191}"	"{""Winter"": 60, ""Fall"": 110, ""Summer"": 353, ""Spring"": 302}"	"{""Daily"": 315, ""Sport"": 189, ""Leisure"": 330, ""Night Out"": 70, ""Business"": 236, ""Evening"": 76}"	Italian blood orange, Spanish bitter orange, Red mandarin orange	Chinese geranium, Madagascan pepper, Egyptian jasmine	Australian sandalwood, Brazilian tonka bean, Texas cedar		https://media.parfumo.com/perfumes/6c/6c97a2-orange-sanguine-atelier-cologne_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/Atelier_Cologne/Orange_Sanguine_Cologne	1184
P_18562	Vanille Insensée	Atelier Cologne	2011.0		Ralf Schwieger	"{""Citrus"": 87, ""Spicy"": 114, ""Sweet"": 136, ""Smoky"": 50, ""Powdery"": 106, ""Woody"": 68, ""Gourmand"": 82, ""Fresh"": 37, ""Creamy"": 41}"	"{""Masculine"": 122, ""Feminine"": 197, ""Classic"": 82, ""Modern"": 93}"	"{""Winter"": 129, ""Fall"": 177, ""Summer"": 105, ""Spring"": 152}"	"{""Daily"": 158, ""Leisure"": 163, ""Night Out"": 85, ""Business"": 136, ""Evening"": 116}"	Italian citron, Russian coriander, Key lime	Egyptian jasmine, Haitian vetiver, Slovene oakmoss	Bourbon vanilla, English oak, Amber		https://media.parfumo.com/perfumes/f2/f299bf-vanille-insensee-atelier-cologne_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/Atelier_Cologne/Vanille_Insensee_Cologne_Absolue	721
P_18563	Clémentine California	Atelier Cologne	2016.0		Jérôme Epinette	"{""Citrus"": 121, ""Spicy"": 36, ""Sweet"": 28, ""Woody"": 28, ""Green"": 60, ""Fruity"": 71, ""Fresh"": 113}"	"{""Masculine"": 99, ""Feminine"": 107, ""Classic"": 41, ""Modern"": 63}"	"{""Winter"": 12, ""Fall"": 21, ""Summer"": 120, ""Spring"": 102}"	"{""Daily"": 110, ""Sport"": 64, ""Leisure"": 109, ""Business"": 89, ""Evening"": 22}"	Italian clementine, Citron, Turkish juniper berry, Haitian vetiver, Mint, Provençal cypress	Italian clementine, Citron, Turkish juniper berry, Haitian vetiver, Mint, Provençal cypress	Italian clementine, Citron, Turkish juniper berry, Haitian vetiver, Mint, Provençal cypress		https://media.parfumo.com/perfumes/33/33d695-clementine-california-atelier-cologne_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/Atelier_Cologne/Clementine_California	457
P_18564	Pomélo Paradis	Atelier Cologne	2015.0		Ralf Schwieger	"{""Citrus"": 132, ""Sweet"": 38, ""Green"": 35, ""Fruity"": 120, ""Fresh"": 113, ""Floral"": 35}"	"{""Masculine"": 109, ""Feminine"": 128, ""Classic"": 39, ""Modern"": 66}"	"{""Fall"": 31, ""Summer"": 135, ""Spring"": 112}"	"{""Daily"": 122, ""Sport"": 66, ""Leisure"": 126, ""Night Out"": 23, ""Business"": 107, ""Evening"": 23}"	Florida grapefruit, Calabrian mandarin orange, Blackcurrant bud	Japanese mint, Morrocan orange blossom, Bulgarian rose	Florentine iris, Haitian vetiver, Amber		https://media.parfumo.com/perfumes/93/938c86-pomelo-paradis-atelier-cologne_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/Atelier_Cologne/Pomelo_Paradis	473
P_18565	Timbuktu	LArtisan Parfumeur	2004.0		Bertrand Duchaufour	"{""Spicy"": 247, ""Smoky"": 176, ""Oriental"": 75, ""Woody"": 234, ""Resinous"": 127, ""Green"": 140, ""Fruity"": 92, ""Fresh"": 113, ""Earthy"": 118}"	"{""Masculine"": 273, ""Feminine"": 138, ""Classic"": 152, ""Modern"": 81}"	"{""Winter"": 155, ""Fall"": 252, ""Summer"": 163, ""Spring"": 223}"	"{""Daily"": 207, ""Leisure"": 222, ""Night Out"": 148, ""Business"": 175, ""Evening"": 180}"	Green mango, Cardamom, Pink pepper	Frankincense, Papyrus, Karo Karounde	Vetiver, Myrrh, Benzoin, Patchouli		https://media.parfumo.com/perfumes/e8/e807d0-timbuktu-l-artisan-parfumeur_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/LArtisan_Parfumeur/Timbuktu	1322
P_18566	Tea for Two	LArtisan Parfumeur	2000.0		Olivia Giacobetti	"{""Spicy"": 175, ""Sweet"": 78, ""Smoky"": 134, ""Oriental"": 58, ""Woody"": 83, ""Gourmand"": 82}"	"{""Masculine"": 170, ""Feminine"": 156, ""Classic"": 77, ""Modern"": 55}"	"{""Winter"": 158, ""Fall"": 174, ""Summer"": 44, ""Spring"": 90}"	"{""Daily"": 109, ""Leisure"": 137, ""Night Out"": 117, ""Business"": 95, ""Evening"": 143}"	Gentian, Star anise, Bergamot, Orange blossom	Lapsang Souchong tea, Cinnamon, Ginger	Tobacco, Honey, Gaiac wood, Vanilla		https://media.parfumo.com/perfumes/92/928cc5-tea-for-two-l-artisan-parfumeur_1200.jpg?width=480&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/LArtisan_Parfumeur/Tea_for_Two	610
P_18567	La Chasse aux Papillons	LArtisan Parfumeur	1999.0		Anne Flipo	"{""Citrus"": 33, ""Spicy"": 21, ""Sweet"": 73, ""Powdery"": 33, ""Green"": 48, ""Fruity"": 21, ""Fresh"": 64, ""Floral"": 131}"	"{""Masculine"": 11, ""Feminine"": 128, ""Classic"": 42, ""Modern"": 47}"	"{""Winter"": 22, ""Fall"": 48, ""Summer"": 100, ""Spring"": 122}"	"{""Daily"": 108, ""Leisure"": 106, ""Night Out"": 50, ""Business"": 85, ""Evening"": 51}"	Bergamot, Mandarin orange, Pink pepper	Jasmine, Linden blossom, Tuberose, Orange blossom, Lemon blossom	Tuberose, Ylang-ylang		https://media.parfumo.com/perfumes/49/4902aa-la-chasse-aux-papillons-eau-de-toilette-l-artisan-parfumeur_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/LArtisan_Parfumeur/La_Chasse_aux_Papillons	424
P_18568	Debaser	D S  Durga	2015.0		David Seth Moltz	"{""Sweet"": 31, ""Woody"": 47, ""Green"": 113, ""Fruity"": 64, ""Fresh"": 77, ""Creamy"": 54}"	"{""Masculine"": 75, ""Feminine"": 82, ""Classic"": 21, ""Modern"": 64}"	"{""Winter"": 15, ""Fall"": 45, ""Summer"": 109, ""Spring"": 110}"	"{""Daily"": 96, ""Sport"": 29, ""Leisure"": 100, ""Night Out"": 26, ""Business"": 64, ""Evening"": 43}"	Leaf green, Pear stem, Bergamot	Fig, Coconut milk, Iris	Blond woods, White musk, Moss, Tonka bean		https://media.parfumo.com/perfumes/eb/ebc4c7-debaser-eau-de-parfum-d-s-durga_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/D_S__Durga/Debaser_Eau_de_Parfum	386
P_18569	I Don't Know What	D S  Durga	2018.0		David Seth Moltz	"{""Citrus"": 32, ""Spicy"": 35, ""Synthetic"": 89, ""Woody"": 82, ""Green"": 23, ""Fresh"": 61}"	"{""Masculine"": 83, ""Feminine"": 64, ""Classic"": 22, ""Modern"": 63}"	"{""Winter"": 41, ""Fall"": 73, ""Summer"": 76, ""Spring"": 89}"	"{""Daily"": 81, ""Sport"": 30, ""Leisure"": 86, ""Night Out"": 39, ""Business"": 76, ""Evening"": 37}"	Bergamot	ISO-E-Super, Vetiveryl acetate	Ambrox, Civettone, Firsantol®		https://media.parfumo.com/perfumes/c9/c9c226-i-don-t-know-what-d-s-durga_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/D_S__Durga/I_Don_t_Know_What	322
P_18570	Steamed Rainbow	D S  Durga	2023.0		David Seth Moltz	"{""Citrus"": 15, ""Synthetic"": 18, ""Green"": 30, ""Fruity"": 8, ""Fresh"": 36, ""Earthy"": 10, ""Floral"": 11, ""Aquatic"": 33}"	"{""Masculine"": 26, ""Feminine"": 28, ""Classic"": 8, ""Modern"": 31}"	"{""Winter"": 7, ""Fall"": 15, ""Summer"": 40, ""Spring"": 36}"	"{""Daily"": 33, ""Sport"": 15, ""Leisure"": 39, ""Night Out"": 9, ""Business"": 17, ""Evening"": 10}"	Elemi resin, Orange, Red mandarin orange	Grass, Green cedar, Almond blossom	Mist note, Vetiver, Violet		https://media.parfumo.com/perfumes/3c/3c205f-steamed-rainbow-d-s-durga_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/D_S__Durga/steamed-rainbow	161
P_18572	L'Air de Rien	Miller Harris	2006.0		Lyn Harris	"{""Spicy"": 61, ""Sweet"": 59, ""Smoky"": 24, ""Powdery"": 88, ""Oriental"": 25, ""Woody"": 30, ""Resinous"": 30, ""Earthy"": 79, ""Floral"": 35, ""Animal"": 64}"	"{""Masculine"": 84, ""Feminine"": 118, ""Classic"": 57, ""Modern"": 34}"	"{""Winter"": 88, ""Fall"": 113, ""Summer"": 43, ""Spring"": 85}"	"{""Daily"": 71, ""Leisure"": 86, ""Night Out"": 76, ""Business"": 53, ""Evening"": 91}"	Neroli	Oakmoss, Patchouli	Amber, Musk, Vanilla		https://media.parfumo.com/perfumes/60/60549e-l-air-de-rien-miller-harris_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/Miller_Harris/L_Air_de_Rien	495
P_18573	Éclat d'Arpège	Lanvin	2002.0		Karine Dubreuil-Sereni	"{""Citrus"": 93, ""Sweet"": 77, ""Powdery"": 47, ""Green"": 71, ""Fruity"": 82, ""Fresh"": 192, ""Floral"": 219}"	"{""Feminine"": 229, ""Classic"": 73, ""Modern"": 131}"	"{""Winter"": 42, ""Fall"": 74, ""Summer"": 207, ""Spring"": 226}"	"{""Daily"": 222, ""Sport"": 77, ""Leisure"": 197, ""Night Out"": 42, ""Business"": 185, ""Evening"": 47}"	Green lilac, Sicilian lemon leaf	Wisteria, Red peony, Green tea, Peach blossom	Lebanon cedar, White musk, Amber		https://media.parfumo.com/perfumes/88/889e3e-eclat-d-arpege-eau-de-parfum-lanvin_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/Lanvin/eclat-d-arpege-eau-de-parfum	781
P_18574	Arpège	Lanvin	1927.0		André Fraysse,Paul Vacher	"{""Spicy"": 34, ""Powdery"": 49, ""Oriental"": 22, ""Woody"": 37, ""Fruity"": 14, ""Chypre"": 28, ""Floral"": 63, ""Animal"": 17}"	"{""Masculine"": 16, ""Feminine"": 66, ""Classic"": 37, ""Modern"": 8}"	"{""Winter"": 52, ""Fall"": 58, ""Summer"": 21, ""Spring"": 39}"	"{""Daily"": 30, ""Leisure"": 23, ""Night Out"": 51, ""Business"": 16, ""Evening"": 57}"	Aldehydes, Bergamot, Honeysuckle, Neroli, Peach, Lily of the valley	Geranium, Camellia, Coriander, Iris, Jasmine, Lily, Ylang-ylang, Rose, Lily of the valley	Patchouli, Ambergris, Benzoin, Musk, Sandalwood, Vanilla, Vetiver		https://media.parfumo.com/perfumes/46/46c0c5-arpege-1927-extrait-lanvin_1200.jpg?width=240&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/Lanvin/Arpege_1927_Extrait	264
P_18575	Marry Me!	Lanvin	2010.0		Antoine Maisondieu	"{""Citrus"": 8, ""Spicy"": 5, ""Sweet"": 12, ""Woody"": 5, ""Fruity"": 19, ""Fresh"": 18, ""Floral"": 27}"	"{""Feminine"": 31, ""Classic"": 6, ""Modern"": 15}"	"{""Winter"": 10, ""Fall"": 14, ""Summer"": 20, ""Spring"": 27}"	"{""Daily"": 25, ""Leisure"": 23, ""Night Out"": 9, ""Business"": 18, ""Evening"": 9}"	Bitter orange, Jasmine tea	Jasmine, Magnolia	Musk, Amber		https://media.parfumo.com/perfumes/32/32830a-marry-me-lanvin_1200.jpg?width=720&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/Lanvin/Marry_me_	94
P_18576	Oxygène	Lanvin	2000.0		Alberto Morillas	"{""Spicy"": 44, ""Synthetic"": 29, ""Sweet"": 22, ""Powdery"": 34, ""Woody"": 35, ""Fresh"": 100, ""Creamy"": 45, ""Floral"": 73, ""Aquatic"": 83}"	"{""Masculine"": 46, ""Feminine"": 120, ""Classic"": 35, ""Modern"": 56}"	"{""Winter"": 27, ""Fall"": 51, ""Summer"": 106, ""Spring"": 106}"	"{""Daily"": 112, ""Sport"": 58, ""Leisure"": 105, ""Night Out"": 28, ""Business"": 92, ""Evening"": 29}"	Pepper, Bergamot	Milk, Gardenia, Rose	Musk, Sandalwood, Iris		https://media.parfumo.com/perfumes/9d/9ddb02-oxygene-lanvin_1200.jpg?width=480&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/Lanvin/Oxygene	465
P_18577	Modern Princess	Lanvin	2016.0		Christophe Raynaud,DSM-Firmenich	"{""Synthetic"": 8, ""Sweet"": 15, ""Fruity"": 23, ""Fresh"": 19, ""Creamy"": 5, ""Floral"": 24}"	"{""Feminine"": 27, ""Classic"": 4, ""Modern"": 18}"	"{""Winter"": 5, ""Fall"": 7, ""Summer"": 21, ""Spring"": 27}"	"{""Daily"": 23, ""Sport"": 5, ""Leisure"": 24, ""Night Out"": 4, ""Business"": 15, ""Evening"": 4}"	Red currant, Cripps Pink apple	Freesia, Jasmine	Vanilla orchid, White musk, Blond woods		https://media.parfumo.com/perfumes/ff/ff057b-modern-princess-lanvin_1200.jpg?width=240&aspect_ratio=1:1	https://www.parfumo.com/Perfumes/Lanvin/Modern_Princess	94
